month,skill,mentions,postings
2024-01,APIs,3,3
2024-01,Airflow,5,5
2024-01,Business Recommendations,15,15
2024-01,Data Visualization,9,9
2024-01,Data Warehousing,3,3
2024-01,Docker,3,3
2024-01,ETL,8,8
2024-01,Econometrics,5,5
2024-01,Economic Analysis,1,1
2024-01,Excel,4,4
2024-01,Future of Work,15,15
2024-01,Information Extraction,4,4
2024-01,KPI Reporting,1,1
2024-01,LLM,6,6
2024-01,Labor Market Analytics,15,15
2024-01,MLOps,3,3
2024-01,Machine Learning,8,8
2024-01,Market Research,1,1
2024-01,Model Evaluation,11,11
2024-01,Natural Language Processing,4,4
2024-01,Power BI,6,6
2024-01,Prompt Engineering,1,1
2024-01,Python,14,14
2024-01,RAG,5,5
2024-01,SQL,12,12
2024-01,Scikit-learn,8,8
2024-01,Semantic Search,5,5
2024-01,Sentence Transformers,4,4
2024-01,Spark,5,5
2024-01,Stakeholder Communication,15,15
2024-01,Statistics,6,6
2024-01,Tableau,4,4
2024-01,Vector Database,2,2
2024-02,APIs,4,4
2024-02,Airflow,5,5
2024-02,Business Recommendations,15,15
2024-02,Data Visualization,12,12
2024-02,Data Warehousing,3,3
2024-02,Docker,1,1
2024-02,ETL,7,7
2024-02,Econometrics,7,7
2024-02,Economic Analysis,2,2
2024-02,Excel,8,8
2024-02,Future of Work,15,15
2024-02,Gemini API,2,2
2024-02,Information Extraction,2,2
2024-02,KPI Reporting,5,5
2024-02,LLM,3,3
2024-02,Labor Market Analytics,15,15
2024-02,LangChain,1,1
2024-02,MLOps,1,1
2024-02,Machine Learning,7,7
2024-02,Market Research,2,2
2024-02,Model Evaluation,6,6
2024-02,Natural Language Processing,2,2
2024-02,OpenAI API,1,1
2024-02,Power BI,5,5
2024-02,Prompt Engineering,1,1
2024-02,Python,11,11
2024-02,RAG,2,2
2024-02,SQL,13,13
2024-02,Scikit-learn,7,7
2024-02,Semantic Search,3,3
2024-02,Sentence Transformers,2,2
2024-02,Spark,8,8
2024-02,Stakeholder Communication,15,15
2024-02,Statistics,7,7
2024-02,Tableau,5,5
2024-03,APIs,6,6
2024-03,Airflow,6,6
2024-03,Business Recommendations,15,15
2024-03,Data Visualization,14,14
2024-03,Data Warehousing,1,1
2024-03,Docker,1,1
2024-03,ETL,2,2
2024-03,Econometrics,10,10
2024-03,Economic Analysis,3,3
2024-03,Excel,6,6
2024-03,Future of Work,15,15
2024-03,Gemini API,2,2
2024-03,KPI Reporting,5,5
2024-03,LLM,3,3
2024-03,Labor Market Analytics,15,15
2024-03,LangChain,1,1
2024-03,MLOps,1,1
2024-03,Machine Learning,10,10
2024-03,Market Research,3,3
2024-03,Model Evaluation,9,9
2024-03,OpenAI API,3,3
2024-03,Power BI,8,8
2024-03,Python,8,8
2024-03,RAG,3,3
2024-03,SQL,14,14
2024-03,Scikit-learn,9,9
2024-03,Semantic Search,1,1
2024-03,Spark,4,4
2024-03,Stakeholder Communication,15,15
2024-03,Statistics,13,13
2024-03,Tableau,7,7
2024-03,Vector Database,1,1
2024-04,APIs,7,7
2024-04,Airflow,6,6
2024-04,Business Recommendations,15,15
2024-04,Data Visualization,12,12
2024-04,Data Warehousing,3,3
2024-04,Docker,3,3
2024-04,ETL,6,6
2024-04,Econometrics,3,3
2024-04,Economic Analysis,2,2
2024-04,Excel,7,7
2024-04,Future of Work,15,15
2024-04,Gemini API,2,2
2024-04,KPI Reporting,4,4
2024-04,LLM,2,2
2024-04,Labor Market Analytics,15,15
2024-04,LangChain,1,1
2024-04,MLOps,3,3
2024-04,Machine Learning,8,8
2024-04,Market Research,2,2
2024-04,Model Evaluation,10,10
2024-04,OpenAI API,5,5
2024-04,Power BI,6,6
2024-04,Prompt Engineering,3,3
2024-04,Python,11,11
2024-04,RAG,4,4
2024-04,SQL,13,13
2024-04,Scikit-learn,11,11
2024-04,Semantic Search,4,4
2024-04,Spark,5,5
2024-04,Stakeholder Communication,15,15
2024-04,Statistics,11,11
2024-04,Tableau,6,6
2024-04,Vector Database,2,2
2024-05,APIs,5,5
2024-05,Airflow,5,5
2024-05,Business Recommendations,15,15
2024-05,Data Visualization,11,11
2024-05,Data Warehousing,2,2
2024-05,ETL,6,6
2024-05,Econometrics,7,7
2024-05,Economic Analysis,4,4
2024-05,Excel,5,5
2024-05,Future of Work,15,15
2024-05,Gemini API,2,2
2024-05,Information Extraction,4,4
2024-05,KPI Reporting,2,2
2024-05,LLM,7,7
2024-05,Labor Market Analytics,15,15
2024-05,LangChain,3,3
2024-05,Machine Learning,5,5
2024-05,Market Research,4,4
2024-05,Model Evaluation,7,7
2024-05,Natural Language Processing,4,4
2024-05,OpenAI API,3,3
2024-05,Power BI,4,4
2024-05,Prompt Engineering,5,5
2024-05,Python,11,11
2024-05,RAG,6,6
2024-05,SQL,10,10
2024-05,Scikit-learn,5,5
2024-05,Semantic Search,9,9
2024-05,Sentence Transformers,4,4
2024-05,Spark,7,7
2024-05,Stakeholder Communication,15,15
2024-05,Statistics,8,8
2024-05,Tableau,8,8
2024-05,Vector Database,3,3
2024-06,APIs,10,10
2024-06,Airflow,3,3
2024-06,Business Recommendations,15,15
2024-06,Data Visualization,9,9
2024-06,Data Warehousing,2,2
2024-06,Docker,3,3
2024-06,ETL,7,7
2024-06,Econometrics,3,3
2024-06,Economic Analysis,1,1
2024-06,Excel,3,3
2024-06,Future of Work,15,15
2024-06,Gemini API,1,1
2024-06,Information Extraction,1,1
2024-06,KPI Reporting,2,2
2024-06,LLM,6,6
2024-06,Labor Market Analytics,15,15
2024-06,LangChain,5,5
2024-06,MLOps,3,3
2024-06,Machine Learning,9,9
2024-06,Market Research,1,1
2024-06,Model Evaluation,10,10
2024-06,Natural Language Processing,1,1
2024-06,OpenAI API,6,6
2024-06,Power BI,6,6
2024-06,Prompt Engineering,5,5
2024-06,Python,12,12
2024-06,RAG,7,7
2024-06,SQL,10,10
2024-06,Scikit-learn,8,8
2024-06,Semantic Search,6,6
2024-06,Sentence Transformers,1,1
2024-06,Spark,9,9
2024-06,Stakeholder Communication,15,15
2024-06,Statistics,7,7
2024-06,Tableau,9,9
2024-06,Vector Database,4,4
2024-07,APIs,6,6
2024-07,Airflow,6,6
2024-07,Business Recommendations,15,15
2024-07,Data Visualization,10,10
2024-07,ETL,5,5
2024-07,Econometrics,8,8
2024-07,Economic Analysis,3,3
2024-07,Excel,9,9
2024-07,Future of Work,15,15
2024-07,Gemini API,1,1
2024-07,Information Extraction,4,4
2024-07,KPI Reporting,5,5
2024-07,LLM,8,8
2024-07,Labor Market Analytics,15,15
2024-07,LangChain,2,2
2024-07,Machine Learning,8,8
2024-07,Market Research,3,3
2024-07,Model Evaluation,6,6
2024-07,Natural Language Processing,4,4
2024-07,OpenAI API,4,4
2024-07,Power BI,5,5
2024-07,Prompt Engineering,6,6
2024-07,Python,9,9
2024-07,RAG,7,7
2024-07,SQL,10,10
2024-07,Scikit-learn,8,8
2024-07,Semantic Search,10,10
2024-07,Sentence Transformers,4,4
2024-07,Spark,3,3
2024-07,Stakeholder Communication,15,15
2024-07,Statistics,11,11
2024-07,Tableau,7,7
2024-07,Vector Database,3,3
2024-08,APIs,9,9
2024-08,Airflow,7,7
2024-08,Business Recommendations,15,15
2024-08,Data Visualization,8,8
2024-08,Data Warehousing,2,2
2024-08,Docker,1,1
2024-08,ETL,4,4
2024-08,Econometrics,4,4
2024-08,Excel,8,8
2024-08,Future of Work,15,15
2024-08,Gemini API,6,6
2024-08,Information Extraction,1,1
2024-08,KPI Reporting,4,4
2024-08,LLM,11,11
2024-08,Labor Market Analytics,15,15
2024-08,LangChain,8,8
2024-08,MLOps,1,1
2024-08,Machine Learning,7,7
2024-08,Model Evaluation,7,7
2024-08,Natural Language Processing,1,1
2024-08,OpenAI API,3,3
2024-08,Power BI,8,8
2024-08,Prompt Engineering,7,7
2024-08,Python,13,13
2024-08,RAG,7,7
2024-08,SQL,10,10
2024-08,Scikit-learn,6,6
2024-08,Semantic Search,3,3
2024-08,Sentence Transformers,1,1
2024-08,Spark,5,5
2024-08,Stakeholder Communication,15,15
2024-08,Statistics,6,6
2024-08,Tableau,10,10
2024-08,Vector Database,7,7
2024-09,APIs,12,12
2024-09,Airflow,4,4
2024-09,Business Recommendations,15,15
2024-09,Data Visualization,10,10
2024-09,Docker,1,1
2024-09,ETL,1,1
2024-09,Econometrics,10,10
2024-09,Economic Analysis,3,3
2024-09,Excel,9,9
2024-09,Future of Work,15,15
2024-09,Gemini API,8,8
2024-09,Information Extraction,4,4
2024-09,KPI Reporting,3,3
2024-09,LLM,11,11
2024-09,Labor Market Analytics,15,15
2024-09,LangChain,5,5
2024-09,MLOps,1,1
2024-09,Machine Learning,9,9
2024-09,Market Research,3,3
2024-09,Model Evaluation,6,6
2024-09,Natural Language Processing,4,4
2024-09,OpenAI API,4,4
2024-09,Power BI,3,3
2024-09,Prompt Engineering,6,6
2024-09,Python,9,9
2024-09,RAG,7,7
2024-09,SQL,12,12
2024-09,Scikit-learn,5,5
2024-09,Semantic Search,7,7
2024-09,Sentence Transformers,4,4
2024-09,Spark,6,6
2024-09,Stakeholder Communication,15,15
2024-09,Statistics,11,11
2024-09,Tableau,6,6
2024-09,Vector Database,5,5
2024-10,APIs,10,10
2024-10,Airflow,8,8
2024-10,Business Recommendations,15,15
2024-10,Data Visualization,8,8
2024-10,Docker,1,1
2024-10,ETL,5,5
2024-10,Econometrics,9,9
2024-10,Economic Analysis,3,3
2024-10,Excel,10,10
2024-10,Future of Work,15,15
2024-10,Gemini API,3,3
2024-10,Information Extraction,2,2
2024-10,KPI Reporting,3,3
2024-10,LLM,9,9
2024-10,Labor Market Analytics,15,15
2024-10,LangChain,7,7
2024-10,MLOps,1,1
2024-10,Machine Learning,4,4
2024-10,Market Research,3,3
2024-10,Model Evaluation,6,6
2024-10,Natural Language Processing,2,2
2024-10,OpenAI API,7,7
2024-10,Power BI,2,2
2024-10,Prompt Engineering,8,8
2024-10,Python,10,10
2024-10,RAG,7,7
2024-10,SQL,12,12
2024-10,Scikit-learn,8,8
2024-10,Semantic Search,5,5
2024-10,Sentence Transformers,2,2
2024-10,Spark,1,1
2024-10,Stakeholder Communication,15,15
2024-10,Statistics,8,8
2024-10,Tableau,7,7
2024-10,Vector Database,8,8
2024-11,APIs,11,11
2024-11,Airflow,4,4
2024-11,Business Recommendations,15,15
2024-11,Data Visualization,10,10
2024-11,Data Warehousing,2,2
2024-11,Docker,1,1
2024-11,ETL,8,8
2024-11,Econometrics,9,9
2024-11,Economic Analysis,4,4
2024-11,Excel,7,7
2024-11,Future of Work,15,15
2024-11,Gemini API,2,2
2024-11,Information Extraction,1,1
2024-11,KPI Reporting,5,5
2024-11,LLM,8,8
2024-11,Labor Market Analytics,15,15
2024-11,LangChain,7,7
2024-11,MLOps,1,1
2024-11,Machine Learning,6,6
2024-11,Market Research,4,4
2024-11,Model Evaluation,8,8
2024-11,Natural Language Processing,1,1
2024-11,OpenAI API,7,7
2024-11,Power BI,4,4
2024-11,Prompt Engineering,7,7
2024-11,Python,10,10
2024-11,RAG,5,5
2024-11,SQL,13,13
2024-11,Scikit-learn,8,8
2024-11,Semantic Search,7,7
2024-11,Sentence Transformers,1,1
2024-11,Spark,5,5
2024-11,Stakeholder Communication,15,15
2024-11,Statistics,7,7
2024-11,Tableau,8,8
2024-11,Vector Database,5,5
2024-12,APIs,12,12
2024-12,Airflow,7,7
2024-12,Business Recommendations,15,15
2024-12,Data Visualization,8,8
2024-12,Data Warehousing,2,2
2024-12,Docker,2,2
2024-12,ETL,8,8
2024-12,Econometrics,7,7
2024-12,Economic Analysis,2,2
2024-12,Excel,6,6
2024-12,Future of Work,15,15
2024-12,Gemini API,6,6
2024-12,Information Extraction,1,1
2024-12,KPI Reporting,4,4
2024-12,LLM,8,8
2024-12,Labor Market Analytics,15,15
2024-12,LangChain,7,7
2024-12,MLOps,2,2
2024-12,Machine Learning,6,6
2024-12,Market Research,2,2
2024-12,Model Evaluation,7,7
2024-12,Natural Language Processing,1,1
2024-12,OpenAI API,6,6
2024-12,Power BI,4,4
2024-12,Prompt Engineering,8,8
2024-12,Python,11,11
2024-12,RAG,8,8
2024-12,SQL,11,11
2024-12,Scikit-learn,6,6
2024-12,Semantic Search,3,3
2024-12,Sentence Transformers,1,1
2024-12,Spark,8,8
2024-12,Stakeholder Communication,15,15
2024-12,Statistics,8,8
2024-12,Tableau,3,3
2024-12,Vector Database,11,11
2025-01,APIs,10,10
2025-01,Airflow,4,4
2025-01,Business Recommendations,15,15
2025-01,Data Visualization,8,8
2025-01,Docker,2,2
2025-01,ETL,3,3
2025-01,Econometrics,8,8
2025-01,Economic Analysis,1,1
2025-01,Excel,8,8
2025-01,Future of Work,15,15
2025-01,Gemini API,5,5
2025-01,Information Extraction,6,6
2025-01,KPI Reporting,3,3
2025-01,LLM,9,9
2025-01,Labor Market Analytics,15,15
2025-01,LangChain,5,5
2025-01,MLOps,2,2
2025-01,Machine Learning,8,8
2025-01,Market Research,1,1
2025-01,Model Evaluation,8,8
2025-01,Natural Language Processing,6,6
2025-01,OpenAI API,8,8
2025-01,Power BI,8,8
2025-01,Prompt Engineering,6,6
2025-01,Python,14,14
2025-01,RAG,10,10
2025-01,SQL,8,8
2025-01,Scikit-learn,9,9
2025-01,Semantic Search,8,8
2025-01,Sentence Transformers,6,6
2025-01,Spark,4,4
2025-01,Stakeholder Communication,15,15
2025-01,Statistics,6,6
2025-01,Tableau,6,6
2025-01,Vector Database,5,5
2025-02,APIs,9,9
2025-02,Airflow,5,5
2025-02,Business Recommendations,15,15
2025-02,Data Visualization,11,11
2025-02,Docker,1,1
2025-02,ETL,5,5
2025-02,Econometrics,6,6
2025-02,Economic Analysis,1,1
2025-02,Excel,12,12
2025-02,Future of Work,15,15
2025-02,Gemini API,6,6
2025-02,Information Extraction,1,1
2025-02,KPI Reporting,6,6
2025-02,LLM,11,11
2025-02,Labor Market Analytics,15,15
2025-02,LangChain,6,6
2025-02,MLOps,1,1
2025-02,Machine Learning,8,8
2025-02,Market Research,1,1
2025-02,Model Evaluation,6,6
2025-02,Natural Language Processing,1,1
2025-02,OpenAI API,4,4
2025-02,Power BI,4,4
2025-02,Prompt Engineering,7,7
2025-02,Python,9,9
2025-02,RAG,11,11
2025-02,SQL,12,12
2025-02,Scikit-learn,9,9
2025-02,Semantic Search,8,8
2025-02,Sentence Transformers,1,1
2025-02,Spark,4,4
2025-02,Stakeholder Communication,15,15
2025-02,Statistics,9,9
2025-02,Tableau,7,7
2025-02,Vector Database,7,7
2025-03,APIs,11,11
2025-03,Airflow,3,3
2025-03,Business Recommendations,14,14
2025-03,Data Visualization,8,8
2025-03,Data Warehousing,1,1
2025-03,Docker,2,2
2025-03,ETL,5,5
2025-03,Econometrics,4,4
2025-03,Economic Analysis,1,1
2025-03,Excel,7,7
2025-03,Future of Work,14,14
2025-03,Gemini API,6,6
2025-03,Information Extraction,3,3
2025-03,KPI Reporting,2,2
2025-03,LLM,10,10
2025-03,Labor Market Analytics,14,14
2025-03,LangChain,5,5
2025-03,MLOps,2,2
2025-03,Machine Learning,7,7
2025-03,Market Research,1,1
2025-03,Model Evaluation,7,7
2025-03,Natural Language Processing,3,3
2025-03,OpenAI API,6,6
2025-03,Power BI,5,5
2025-03,Prompt Engineering,10,10
2025-03,Python,11,11
2025-03,RAG,9,9
2025-03,SQL,7,7
2025-03,Scikit-learn,9,9
2025-03,Semantic Search,8,8
2025-03,Sentence Transformers,3,3
2025-03,Spark,7,7
2025-03,Stakeholder Communication,14,14
2025-03,Statistics,7,7
2025-03,Tableau,7,7
2025-03,Vector Database,9,9
2025-04,APIs,12,12
2025-04,Airflow,2,2
2025-04,Business Recommendations,14,14
2025-04,Data Visualization,10,10
2025-04,ETL,1,1
2025-04,Econometrics,4,4
2025-04,Excel,4,4
2025-04,Future of Work,14,14
2025-04,Gemini API,9,9
2025-04,Information Extraction,5,5
2025-04,KPI Reporting,2,2
2025-04,LLM,11,11
2025-04,Labor Market Analytics,14,14
2025-04,LangChain,10,10
2025-04,Machine Learning,6,6
2025-04,Model Evaluation,9,9
2025-04,Natural Language Processing,5,5
2025-04,OpenAI API,9,9
2025-04,Power BI,5,5
2025-04,Prompt Engineering,7,7
2025-04,Python,13,13
2025-04,RAG,9,9
2025-04,SQL,9,9
2025-04,Scikit-learn,5,5
